title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Marly-la-Machine,Eugène Atget,(French),1922,Gelatin silver printing-out-paper print,Photograph,Photography,42680,정보없음,정보없음
"Untitled, no. 6 of 34, from the illustrated book, Ode à l'Oubli",Louise Bourgeois,(American),2002,Fabric collage,Illustrated Book,Drawings & Prints,126516,https://www.moma.org/collection/works/126516,https://www.moma.org/media/W1siZiIsIjMwMTQzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=171ad140d3dfd877
Mother and Child,Louise Bourgeois,(American),2007,"Drypoint, with hand additions",Print,Drawings & Prints,171677,https://www.moma.org/collection/works/171677,https://www.moma.org/media/W1siZiIsIjI3NDc3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d8bb5f04ab8b387a
Panels for the Walls of the World: Phase II,Stan VanDerBeek,(American),1970,Xerox Telecopier II fax transmission,Print,Drawings & Prints,497527,정보없음,정보없음
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Auditorium. Interior perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1945—1946,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,457985,정보없음,정보없음
"Poster for Fluxfest Presents John & Yoko, Joe Jones' Tone Deaf Music Store and 80 Wooster Street, New York, April 11, 1970 and April 18-June 12, 1970",정보없음,정보없음,1970,Offset lithograph,Print,Drawings & Prints,127687,정보없음,정보없음
I Am Fluxus,Ben Vautier,(French),c. 1975–84,Cut-and-pasted photocopy and letterpress with felt-tip pen additions,Print,Drawings & Prints,136815,https://www.moma.org/collection/works/136815,https://www.moma.org/media/W1siZiIsIjQwMzMyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=811be5a9e3551944
Amnesty International,Christian Leborg,(Norwegian),1989,Offset lithograph,Design,Architecture & Design,7042,https://www.moma.org/collection/works/7042,https://www.moma.org/media/W1siZiIsIjUyNzY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a93cfaf0817ea9b5
"Seagram Building project, Chicago, IL (West elevation.)",Ludwig Mies van der Rohe,(American),1957,Pencil on acetate,Mies van der Rohe Archive,Architecture & Design,466252,정보없음,정보없음
Untitled from Favorite Objects,Christian Boltanski,(French),1998,One from a portfolio of 264 color Xeroxes,Print,Drawings & Prints,134118,정보없음,정보없음
