title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Explosion,André Lanskoy,(French),1958,Oil on canvas,Painting,Painting & Sculpture,79537,https://www.moma.org/collection/works/79537,https://www.moma.org/media/W1siZiIsIjE4MDAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=07808a0882881e2b
Saint-Cloud,Eugène Atget,(French),1922,Albumen silver print,Photograph,Photography,40741,https://www.moma.org/collection/works/40741,https://www.moma.org/media/W1siZiIsIjMwNjQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b94d84a92b75c6a8
Chequers (Furnishing fabric),Terence Conran,(British),1951,Screenprinted cotton satin,Design,Architecture & Design,196743,https://www.moma.org/collection/works/196743,https://www.moma.org/media/W1siZiIsIjM5NzM0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c05cf7e71f605634
(Untitled),Josef Raynefeld,(Polish),(n.d.),"a) Pencil, b) Pencil and wash",Drawing,Drawings & Prints,37906,정보없음,정보없음
Untitled,Marcel van Eeden,(Dutch),(2002),Pencil on paper,Drawing,Drawings & Prints,95891,https://www.moma.org/collection/works/95891,https://www.moma.org/media/W1siZiIsIjExNjc2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9eb0a1b50d6580be
Pablo Picasso,Man Ray (Emmanuel Radnitzky),(American),1932,Gelatin silver print,Photograph,Photography,46290,https://www.moma.org/collection/works/46290,https://www.moma.org/media/W1siZiIsIjE0MjgyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a71c473c832bcda8
Hold My Bones,Louise Bourgeois,(American),2002,"Drypoint, with hand additions",Print,Drawings & Prints,116441,https://www.moma.org/collection/works/116441,https://www.moma.org/media/W1siZiIsIjI2NzQ4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e1d5e051dd181882
"Brooklyn Bridge, New York",Brett Weston,(American),1947,Gelatin silver print,Photograph,Photography,49373,https://www.moma.org/collection/works/49373,https://www.moma.org/media/W1siZiIsIjE5Nzk1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7c86e01f5d372a7f
"Ground-Floor House in The Dwelling of Our Time, German Building Exhibition, Berlin, Germany (Section, foundations)",Lilly Reich,(German),1931,Pencil and colored pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,145406,정보없음,정보없음
"Flyer for Juxtapositionen 1, Galerie Aachen, Aachen, September 25, 1966",정보없음,정보없음,1966,Mimeograph,Print,Drawings & Prints,131423,정보없음,정보없음
"Auricular Cell (La Cellule auriculaire) from the portfolio The Original Print ( L'Estampe originale), no. II by various artists",Odilon Redon,(French),1893,Lithograph with chine appliqué,Print,Drawings & Prints,70954,https://www.moma.org/collection/works/70954,https://www.moma.org/media/W1siZiIsIjk3Mjk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=7d5876675fad1199
"The Misty Cities (Die Nebelstädte) (headpiece, page 43) from Umbra vitae (Shadow of Life)",Ernst Ludwig Kirchner,(German),1924,Woodcut from an illustrated book of fifty woodcuts,Illustrated Book,Drawings & Prints,26691,https://www.moma.org/collection/works/26691,https://www.moma.org/media/W1siZiIsIjEyNDk4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bb0b90c94b643c3c
The Book Stall letterhead,Alvin Lustig,(American),c.1940-1945,Letterpress,Design,Architecture & Design,198635,https://www.moma.org/collection/works/198635,정보없음
The City,Maria Helena Vieira da Silva,(French),1950-51,Oil on canvas,Painting,Painting & Sculpture,79873,https://www.moma.org/collection/works/79873,https://www.moma.org/media/W1siZiIsIjE4MjIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64da3d75b77c72eb
TÊTE DE FEMME. XVIe SIÈCLE. ÉCOLE DES BEAUX-ARTS,Eugène Atget,(French),1921,Albumen silver print,Photograph,Photography,41586,정보없음,정보없음
Snake Eyes from the series Bones & Unions,Robert Rauschenberg,(American),1975,"Handmade paper, bamboo and fabric",Print,Drawings & Prints,65597,https://www.moma.org/collection/works/65597,https://www.moma.org/media/W1siZiIsIjU2NDA5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b9c258bb30ef96ef
Plate 7 (folio 14 verso) from Liebesgedichte (Love Poems),Karl Hofer,(German),1922,One from an illustrated book with twelve lithographs,Illustrated Book,Drawings & Prints,11124,https://www.moma.org/collection/works/11124,https://www.moma.org/media/W1siZiIsIjEyODI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cd3a64389821eb35
Landscape,Rudolf Kügler,(German),1952,Etching and aquatint,Print,Drawings & Prints,65040,https://www.moma.org/collection/works/65040,https://www.moma.org/media/W1siZiIsIjE2NjE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fa5111fe39a19045
AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,(French),"1931–37, published 1937","142 lithographs (including pictorial initials, head-and tailpieces, ornaments, and publisher's device), 140 printed in color and 2 printed in black",Illustrated Book,Drawings & Prints,25587,정보없음,정보없음
Unidentfied Project (Structural details. Sections. Sketch.),Ludwig Mies van der Rohe,(American),n.d.,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,470166,정보없음,정보없음
Feltri Chair,Gaetano Pesce,(Italian),1986,Wool felt and polyester resin,Design,Architecture & Design,3765,https://www.moma.org/collection/works/3765,정보없음
"Bank and Office Building, project, Stuttgart, Germany, Elevation of Lautenschlager Street at night showing neon signs",Alfred Fischer,(German),1928,"Gouache, color pencil, graphite, ink, crayon, cut and pasted painted papers mounted on black board",Architecture,Architecture & Design,88143,정보없음,정보없음
Sun in Your Head,Wolf Vostell,(German),1963/1972,"16mm film transferred to standard-definition video (black and white, sound)",Video,Media and Performance,200159,https://www.moma.org/collection/works/200159,https://www.moma.org/media/W1siZiIsIjQyNTUxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0f79bfde1152167d
"IITRI Minerals and Metals Research Building, Chicago, IL (Exterior elevations.)",Ludwig Mies van der Rohe,(American),1942—1943,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,454470,정보없음,정보없음
Diptych #2,Melissa Meyer,(American),(1989),Oilstick on two sheets of paper,Drawing,Drawings & Prints,37313,https://www.moma.org/collection/works/37313,정보없음
Pompeii,William Baziotes,(American),1955,Oil on canvas,Painting,Painting & Sculpture,79080,https://www.moma.org/collection/works/79080,https://www.moma.org/media/W1siZiIsIjE2MTM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=460be70a32b501fe
"Pavilion Apartments and Town Houses, Lafayette Park, Detroit, MI, Elevations, sections (Low-rise building. Type B. Town houses. Second floor plan. Window details.)",Ludwig Mies van der Rohe,(American),1958,Pencil on ozalid,Mies van der Rohe Archive,Architecture & Design,104010,https://www.moma.org/collection/works/104010,https://www.moma.org/media/W1siZiIsIjEwNzY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9d98c0fa101702b1
"Music for Pure Waves, Bass Drums and Acoustic Pendulums",Alvin Lucier,(),1980,"Bass drums, loudspeakers, Ping Pong balls, monofilament, and slow sweep pure wave oscillator",Installation,Media and Performance,181783,https://www.moma.org/collection/works/181783,https://www.moma.org/media/W1siZiIsIjMwNDQzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=04aa8d9a7ec984fd
In-text plate (folio 3) from Poems,Joan Mitchell,(American),1992,Lithograph from an illustrated book with eight lithographs,Illustrated Book,Drawings & Prints,10615,https://www.moma.org/collection/works/10615,https://www.moma.org/media/W1siZiIsIjQ0NzEwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=97eb13e8e40582cc
Silkscreen for Portrait of Sidney Janis,Andy Warhol,(American),1967,"Photosensitive gelatin on silk, with wood frame",Painting,Painting & Sculpture,80705,https://www.moma.org/collection/works/80705,https://www.moma.org/media/W1siZiIsIjE2MjA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f4d8fe21c343ff81
"German People - German Work Exhibit, Berlin, Germany, Three pedestals and tables. Elevations and plan.,",Lilly Reich,(German),1934,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,139732,정보없음,정보없음
Anima saucer/plate,Kosuke Araki,(Japanese),2018–2019,Charcoal of food waste and urushi,Design,Architecture & Design,410391,https://www.moma.org/collection/works/410391,https://www.moma.org/media/W1siZiIsIjUzODMzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b530485c8fddcb25
Vselenskaia voina (Universal War),Aleksei Kruchenykh,(Russian),1916,Collage from an illustrated book with 12 collages,Illustrated Book,Drawings & Prints,283447,정보없음,정보없음
Human/Need/Desire,Bruce Nauman,(American),1983,Neon tubing and wire with glass tubing suspension frames,Sculpture,Painting & Sculpture,81175,https://www.moma.org/collection/works/81175,https://www.moma.org/media/W1siZiIsIjIyODg5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2cc949766ab23bc2
Shot,Irma Boom,(Dutch),2004,"Book, offset printed with kraft paper and bone folder",Design,Architecture & Design,110967,https://www.moma.org/collection/works/110967,https://www.moma.org/media/W1siZiIsIjMxMjc2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c5fc9e26f21d8bc
Sixth Stone I,Lee Bontecou,(American),1964,Lithograph,Print,Drawings & Prints,72107,https://www.moma.org/collection/works/72107,https://www.moma.org/media/W1siZiIsIjEwNTE3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=332103030c1ff34b
"Mangalore (?), India",Francis Frith,(British),1860s ?,Albumen silver print from a glass negative,Photograph,Photography,44578,정보없음,정보없음
Reclining Figure,Graham Coughtry,(Canadian),1961,Oil on canvas,Painting,Painting & Sculpture,79560,https://www.moma.org/collection/works/79560,https://www.moma.org/media/W1siZiIsIjMzOTE0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=85c31682225f6111
"Tugendhat House, Brno, Czech Republic (Site plan.)",Ludwig Mies van der Rohe,(American),1928—1930,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,473462,정보없음,정보없음
Fluxus 1,Various Artists,(),c. 1966,"Book with offset, metal bolts and stamped ink, containing objects in various media, in wood box",Illustrated Book,Drawings & Prints,283824,정보없음,정보없음
Archival box,Ben Kinmont,(American),정보없음,Archival box,Print,Drawings & Prints,169498,정보없음,정보없음
The Space Between,Antonio Dias,(Brazilian),1971,12-inch vinyl record in a padded brown-paper mailing envelope with additions of a photograph and a rubber-stamped title,Audio,Drawings & Prints,419917,https://www.moma.org/collection/works/419917,https://www.moma.org/media/W1siZiIsIjQ5NjYyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a613a91b83f6fce8
Toy Ship Alignment,"János Kender, Harry Shunk, John Baldessari",(Hungarian) (French) (American),1971,Gelatin silver print,Photograph,Photography,176317,https://www.moma.org/collection/works/176317,https://www.moma.org/media/W1siZiIsIjI5NTg4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1a03379e4cd55a54
Cicero from the portfolio XII Romans,Rudy Pozzatti,(American),1963,One from a portfolio of fourteen lithographs (including title page and colophon),Print,Drawings & Prints,76017,https://www.moma.org/collection/works/76017,https://www.moma.org/media/W1siZiIsIjU0MjcyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=236e170bdda1da4e
"Matchbook for Carnegie International 1991, Pittsburg, October 19, 1991–February 16, 1992",Louise Lawler,(American),1991,"Matchbook, offset printed",Ephemera,Drawings & Prints,206078,https://www.moma.org/collection/works/206078,https://www.moma.org/media/W1siZiIsIjM3NjM0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4307f5590daca4ee
"Northern Water Front. Treasurer's Home. ""Winona"" for Indian Girls. Girls' Cottage. Virginia Hall. Griggs' Hall",Frances Benjamin Johnston,(American),1899-1900,Platinum print,Photograph,Photography,57076,https://www.moma.org/collection/works/57076,https://www.moma.org/media/W1siZiIsIjQzNTg4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=103bb77113d0e916
"Untitled (Wide Tree), from the editioned series of portfolios, Les Arbres (1-6)",Louise Bourgeois,(American),2004,"Drypoint, with hand additions",Print,Drawings & Prints,150586,https://www.moma.org/collection/works/150586,https://www.moma.org/media/W1siZiIsIjI2NzMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab979d39e43ac064
Fall of the House of Usher,Mario Merz,(Italian),1979,"Oil, metallic paint and charcoal on canvas, with neon fixture and rock",Painting,Painting & Sculpture,79673,https://www.moma.org/collection/works/79673,https://www.moma.org/media/W1siZiIsIjIxMTMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d7e59c58fcc1b224
"56 Leonard Street, New York, New York, USA","Herzog & de Meuron, Basel",(Swiss),2006–2008,Acrylic and cardboard,Architecture,Architecture & Design,298047,정보없음,정보없음
"The Pilgrim Mother. Plymouth, Massachusetts",Lee Friedlander,(American),1974,Gelatin silver print,Photograph,Photography,56280,https://www.moma.org/collection/works/56280,https://www.moma.org/media/W1siZiIsIjUzMDg3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=094d2b2599dea5ef
"Ron Bacardi y Compania, S.A., Administration Building, Santiago, Cuba (Distribution des los locales. Floor plan.)",Ludwig Mies van der Rohe,(American),1957—1960,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,466740,정보없음,정보없음
Brown with White and Black Vertical Grain from the series Step by Step,Richard Tuttle,(American),2002,Woodcut,Print,Drawings & Prints,86904,https://www.moma.org/collection/works/86904,https://www.moma.org/media/W1siZiIsIjY1MDExIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=558de78641aead58
STAR BETELGEUSE (ROBERT DUNCAN) from the portfolio FIRST SERIES - SOME POETS,R. B. Kitaj,(American),"(1967, published 1970)","Serigraph, printed in color with collage additions",Print,Drawings & Prints,76562,정보없음,정보없음
Nation,Tom Kalin,(American),1992,"Video (color, sound)",Video,Media and Performance,120711,https://www.moma.org/collection/works/120711,https://www.moma.org/media/W1siZiIsIjE0ODAwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c99ce41244c13906
Untitled,Bohuslav Horák,(American),1962,Lithograph,Print,Drawings & Prints,74497,정보없음,정보없음
Holes from Fluxkit,Ben Vautier,(French),1965-66,"Plastic box with offset label and rubber and metal objects adhered, containing five offset cards and two rubber objects",Multiple,Drawings & Prints,150021,정보없음,정보없음
Events,Takehisa Kosugi,(Japanese),1965,"Plastic box with two offset labels, containing ten offset cards",Multiple,Drawings & Prints,128091,https://www.moma.org/collection/works/128091,https://www.moma.org/media/W1siZiIsIjI2MDUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=69bcb5bcfb201dc7
"Tour Bois-le-Prêtre, Paris, France (Model before transformation)","Anne Lacaton, Jean Philippe Vassal, Frédéric Druot",(French) (French) (French),2008,"Acrylic, styrene and acrylic primer",Architecture,Architecture & Design,132821,https://www.moma.org/collection/works/132821,https://www.moma.org/media/W1siZiIsIjQ1OTMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=503b82e9c41900e1
Fax message from Claire Burrus to Kinmont,Ben Kinmont,(American),1994,Printed in black ink on white thermal paper,Print,Drawings & Prints,169076,정보없음,정보없음
Instruction No. 2,Benjamin Patterson,(American),1965,"Plastic box with offset label, containing soap and hand towel with stamped ink additions",Multiple,Drawings & Prints,127166,https://www.moma.org/collection/works/127166,https://www.moma.org/media/W1siZiIsIjE5OTE3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cf3082eedff6bd06
"Schönheitsabend in der Motzstraße (plate, folio 10) from Ecce Homo",George Grosz,(American),1922–23 (original executed in 1918),One from an illustrated book with 100 offset lithograph reproductions,Illustrated Book,Drawings & Prints,151539,https://www.moma.org/collection/works/151539,https://www.moma.org/media/W1siZiIsIjEyMzE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b0285e505fa59f0e
Stone Ceremony,Milan Knížák,(Czech),1971,"Envelope, photocopy, and 8 photographs",Print,Drawings & Prints,178963,정보없음,정보없음
Untitled,James Mannas,(American),1964,Gelatin silver print,Photograph,Photography,201420,https://www.moma.org/collection/works/201420,https://www.moma.org/media/W1siZiIsIjM0MjU3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=879f26b16ad9929c
Untitled from 12 Views for Caroline Tatyana,Brice Marden,(American),"1977–79, published 1989",One from a portfolio of twelve etching and aquatints,Print,Drawings & Prints,82144,https://www.moma.org/collection/works/82144,https://www.moma.org/media/W1siZiIsIjMyNzg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d9ab1aa60c3237e6
In-text plate (folio 9; duplicate of folio 6) from Air Mexicain,Rufino Tamayo,(Mexican),1952,Linoleum cut from an illustrated book with four lithographs and twenty-seven linoleum cuts; and supplementary woodcut,Illustrated Book,Drawings & Prints,31107,정보없음,정보없음
Untitled,Lee Bontecou,(American),1960,Charcoal and pencil on paper,Drawing,Drawings & Prints,34224,https://www.moma.org/collection/works/34224,https://www.moma.org/media/W1siZiIsIjE3OTgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=60c85253f2a372d1
(Singer and piano),Gjon Mili,(American),1919-59,Gelatin silver print,Photograph,Photography,55238,정보없음,정보없음
Keiho from the portfolio Cinétique III,Victor Vasarely,(French),1959,Two-part screenprint on clear synthetic sheet and paper from a portfolio of twelve screenprints,Print,Drawings & Prints,84762,https://www.moma.org/collection/works/84762,정보없음
Bird Machine I,Dorothy Dehner,(American),"1953, printed 1980s",Engraving with roulette,Print,Drawings & Prints,70343,https://www.moma.org/collection/works/70343,https://www.moma.org/media/W1siZiIsIjE2MjgzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=527057407a100de8
"African Boy Attendant Curio with Molasses and Brown Sugar, from ""The Marvelous Sugar Baby"" Installation at the old Domino Sugar Factory Warehouse (Bananas)",Kara Walker,(American),2014,Cast pigmented polyester resin with polyurethane coating (optionally with molasses and brown sugar),Sculpture,Painting & Sculpture,190538,https://www.moma.org/collection/works/190538,https://www.moma.org/media/W1siZiIsIjMxNTQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=486d3bdef6267694
Untitled from Prison Notebook,Ibrahim El-Salahi,(Sudanese),1976,Ink on paper from a notebook with thirty-eight ink on paper drawings,Drawing,Drawings & Prints,294341,https://www.moma.org/collection/works/294341,https://www.moma.org/media/W1siZiIsIjQyNjkzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=740b552479d5c765
